Company,Periods_Observed,Crosses,True_Positive,False_Positive,True_Negative,False_Negative,Sensitivity,Specificity,Accuracy,TPR,FPR,Days_Observed
CSCO,,600,121,223,161,95,0.5601851851851852,0.4192708333333333,0.47,0.5601851851851852,0.5807291666666667,2720.0
PDD,,530,138,106,155,131,0.5130111524163569,0.5938697318007663,0.5528301886792453,0.5130111524163569,0.4061302681992337,2720.0
MDT,,647,157,199,159,132,0.5432525951557093,0.4441340782122905,0.4884080370942813,0.5432525951557093,0.5558659217877095,2720.0
TM,,396,88,94,101,113,0.43781094527363185,0.517948717948718,0.4772727272727273,0.43781094527363185,0.482051282051282,1851.0
V,,658,165,159,160,174,0.48672566371681414,0.5015673981191222,0.4939209726443769,0.48672566371681414,0.4984326018808778,2720.0
NVS,,641,151,161,179,150,0.5016611295681063,0.5264705882352941,0.514820592823713,0.5016611295681063,0.47352941176470587,2662.0
BBL,,699,157,227,189,126,0.5547703180212014,0.4543269230769231,0.4949928469241774,0.5547703180212014,0.5456730769230769,2715.0
T,,589,131,191,145,122,0.5177865612648221,0.43154761904761907,0.4685908319185059,0.5177865612648221,0.5684523809523809,2721.0
BAC,,643,154,177,153,159,0.49201277955271566,0.4636363636363636,0.4774494556765163,0.49201277955271566,0.5363636363636364,2721.0
ADBE,,799,220,214,204,161,0.5774278215223098,0.4880382775119617,0.5306633291614519,0.5774278215223098,0.5119617224880383,2713.0
PEP,,687,171,174,167,175,0.49421965317919075,0.4897360703812317,0.49199417758369723,0.49421965317919075,0.5102639296187683,2714.0
LLY,,598,153,173,145,127,0.5464285714285714,0.4559748427672956,0.4983277591973244,0.5464285714285714,0.5440251572327044,2714.0
COST,,677,155,232,156,134,0.5363321799307958,0.4020618556701031,0.45937961595273263,0.5363321799307958,0.5979381443298969,2718.0
UL,,811,177,206,196,232,0.43276283618581907,0.48756218905472637,0.4599260172626387,0.43276283618581907,0.5124378109452736,2690.0
MRK,,609,128,183,171,127,0.5019607843137255,0.4830508474576271,0.4909688013136289,0.5019607843137255,0.5169491525423728,2721.0
TSM,,738,160,196,204,178,0.47337278106508873,0.51,0.4932249322493225,0.47337278106508873,0.49,2721.0
ABBV,,689,153,227,172,137,0.5275862068965518,0.43107769423558895,0.4716981132075472,0.5275862068965518,0.568922305764411,2720.0
ORCL,,761,211,176,162,212,0.4988179669030733,0.47928994082840237,0.49014454664914586,0.4988179669030733,0.5207100591715976,2720.0
PG,,653,157,199,176,121,0.564748201438849,0.4693333333333333,0.5099540581929556,0.564748201438849,0.5306666666666666,2721.0
MCD,,617,138,157,191,131,0.5130111524163569,0.5488505747126436,0.5332252836304701,0.5130111524163569,0.45114942528735635,2717.0
AMZN,,619,178,150,167,124,0.5894039735099338,0.526813880126183,0.5573505654281099,0.5894039735099338,0.473186119873817,2711.0
INTC,,742,151,215,195,181,0.45481927710843373,0.47560975609756095,0.46630727762803237,0.45481927710843373,0.524390243902439,2720.0
TXN,,663,149,214,158,142,0.5120274914089347,0.42473118279569894,0.46304675716440424,0.5120274914089347,0.575268817204301,2719.0
TMO,,670,132,237,164,137,0.49070631970260226,0.4089775561097257,0.4417910447761194,0.49070631970260226,0.5910224438902743,2622.0
KO,,647,159,131,174,183,0.4649122807017544,0.5704918032786885,0.5146831530139103,0.4649122807017544,0.42950819672131146,2721.0
PYPL,,634,171,158,180,125,0.5777027027027027,0.5325443786982249,0.5536277602523659,0.5777027027027027,0.4674556213017751,2721.0
NEE,,741,177,206,206,152,0.5379939209726444,0.5,0.5168690958164642,0.5379939209726444,0.5,2720.0
MSFT,,752,206,217,176,153,0.5738161559888579,0.44783715012722647,0.5079787234042553,0.5738161559888579,0.5521628498727735,2720.0
ACN,,637,164,157,181,135,0.5484949832775919,0.5355029585798816,0.5416012558869702,0.5484949832775919,0.4644970414201184,2678.0
NVDA,,782,187,192,238,165,0.53125,0.5534883720930233,0.5434782608695652,0.53125,0.44651162790697674,2720.0
HD,,558,130,180,156,92,0.5855855855855856,0.4642857142857143,0.5125448028673835,0.5855855855855856,0.5357142857142857,2720.0
XOM,,731,143,214,178,196,0.4218289085545723,0.45408163265306123,0.43912448700410395,0.4218289085545723,0.5459183673469388,2721.0
CVX,,681,139,209,184,149,0.4826388888888889,0.4681933842239186,0.47430249632892807,0.4826388888888889,0.5318066157760815,2721.0
CMCSA,,600,145,172,168,115,0.5576923076923077,0.49411764705882355,0.5216666666666666,0.5576923076923077,0.5058823529411764,2719.0
NKE,,654,142,173,201,138,0.5071428571428571,0.5374331550802139,0.5244648318042814,0.5071428571428571,0.46256684491978606,2721.0
FB,,622,173,142,157,150,0.5356037151702786,0.5250836120401338,0.5305466237942122,0.5356037151702786,0.47491638795986624,2720.0
BHP,,702,159,237,170,136,0.5389830508474577,0.4176904176904177,0.4686609686609687,0.5389830508474577,0.5823095823095823,2719.0
DIS,,651,176,148,161,166,0.5146198830409356,0.5210355987055016,0.5176651305683564,0.5146198830409356,0.47896440129449835,2721.0
NFLX,,660,205,131,157,167,0.5510752688172043,0.5451388888888888,0.5484848484848485,0.5510752688172043,0.45486111111111116,2718.0
JPM,,588,141,175,168,104,0.5755102040816327,0.4897959183673469,0.5255102040816326,0.5755102040816327,0.5102040816326531,2721.0
ABT,,718,147,244,210,117,0.5568181818181818,0.46255506607929514,0.4972144846796657,0.5568181818181818,0.5374449339207048,2720.0
TSLA,,609,113,204,220,72,0.6108108108108108,0.5188679245283019,0.5467980295566502,0.6108108108108108,0.4811320754716981,2720.0
DHR,,748,142,258,232,116,0.5503875968992248,0.47346938775510206,0.5,0.5503875968992248,0.5265306122448979,2697.0
GOOGL,,626,147,195,151,133,0.525,0.43641618497109824,0.476038338658147,0.525,0.5635838150289018,2609.0
GOOG,,672,134,231,176,131,0.5056603773584906,0.43243243243243246,0.46130952380952384,0.5056603773584906,0.5675675675675675,2650.0
PFE,,518,141,104,129,144,0.49473684210526314,0.5536480686695279,0.5212355212355212,0.49473684210526314,0.44635193133047213,2722.0
AVGO,,709,177,196,167,169,0.5115606936416185,0.46005509641873277,0.48519040902679833,0.5115606936416185,0.5399449035812672,2642.0
VZ,,648,149,159,168,172,0.46417445482866043,0.5137614678899083,0.48919753086419754,0.46417445482866043,0.4862385321100917,2722.0
NVO,,540,133,126,154,127,0.5115384615384615,0.55,0.5314814814814814,0.5115384615384615,0.44999999999999996,2455.0
QCOM,,653,156,179,180,138,0.5306122448979592,0.5013927576601671,0.5145482388973966,0.5306122448979592,0.4986072423398329,2719.0
BABA,,702,174,183,187,158,0.5240963855421686,0.5054054054054054,0.5142450142450142,0.5240963855421686,0.49459459459459465,2721.0
UNH,,609,123,203,150,133,0.48046875,0.42492917847025496,0.4482758620689655,0.48046875,0.5750708215297451,2704.0
MA,,635,141,156,175,163,0.46381578947368424,0.5287009063444109,0.49763779527559054,0.46381578947368424,0.4712990936555891,2720.0
AAPL,,608,159,163,154,132,0.5463917525773195,0.48580441640378547,0.5148026315789473,0.5463917525773195,0.5141955835962145,2720.0
TMUS,,759,192,203,209,155,0.553314121037464,0.5072815533980582,0.52832674571805,0.553314121037464,0.49271844660194175,2712.0
WMT,,624,139,166,184,135,0.5072992700729927,0.5257142857142857,0.5176282051282052,0.5072992700729927,0.4742857142857143,2721.0
SAP,,575,150,168,134,123,0.5494505494505495,0.44370860927152317,0.49391304347826087,0.5494505494505495,0.5562913907284768,2398.0
ASML,,599,147,175,130,147,0.5,0.4262295081967213,0.46243739565943237,0.5,0.5737704918032787,2292.0
JNJ,,606,110,199,189,108,0.5045871559633027,0.48711340206185566,0.4933993399339934,0.5045871559633027,0.5128865979381443,2721.0
CRM,,598,157,152,158,131,0.5451388888888888,0.5096774193548387,0.5267558528428093,0.5451388888888888,0.4903225806451613,2721.0
