Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09,7.54626709764654,7.811048399318349,7.4580066637559375,7.766918182373047,1116800,0.0,0.0
1986-07-10,7.811047807421003,7.855178021022252,7.546266525813511,7.722787380218506,595600,0.0,0.0
1986-07-11,7.678656476489186,7.722786686124181,7.458005428314209,7.458005428314209,800400,0.0,0.0
1986-07-14,7.502138004070376,7.502138004070376,7.149096215643534,7.237356662750244,738000,0.0,0.0
1986-07-15,7.193226406409305,7.193226406409305,6.5754032794784445,7.016705513000488,2059200,0.0,0.0
1986-07-16,7.01670300519025,7.413874873408566,7.01670300519025,7.1490936279296875,1160400,0.0,0.0
1986-07-17,7.149092323209611,7.237352722261582,7.0608319241576405,7.193222522735596,1046000,0.0,0.0
1986-07-18,7.19322643919689,7.303551998080278,7.060835768536824,7.237356662750244,1420000,0.0,0.0
1986-07-21,7.237356662750245,7.2814868863035995,7.19322643919689,7.237356662750244,322800,0.0,0.0
1986-07-22,7.237352722261582,7.259417822024574,7.193222522735596,7.193222522735596,390800,0.0,0.0
1986-07-23,7.237353923157875,7.237353923157875,7.0608330957637815,7.104963302612305,1004000,0.0,0.0
1986-07-24,7.104965959704897,7.149096183057101,6.928445066296079,7.016705513000488,1071600,0.0,0.0
1986-07-25,7.016702888915257,7.149093509460828,6.972572682066734,7.104963302612305,688400,0.0,0.0
1986-07-28,7.1049634203498755,7.237354043089314,7.038768108980156,7.1490936279296875,414800,0.0,0.0
1986-07-29,7.0608319241576405,7.193222522735596,7.0608319241576405,7.193222522735596,278400,0.0,0.0
1986-07-30,7.1049634203498755,7.149093627929688,6.972572797610437,7.1490936279296875,459200,0.0,0.0
1986-07-31,7.149093509460828,7.237353923157875,7.0608330957637815,7.104963302612305,1213600,0.0,0.0
1986-08-01,7.060833466358674,7.149093884688157,6.884312629699707,6.884312629699707,1118000,0.0,0.0
1986-08-04,6.928442838864449,6.928442838864449,6.729856897623111,6.884312629699707,892400,0.0,0.0
1986-08-05,6.884313246783088,6.884313246783088,6.707792394301471,6.751922607421875,868800,0.0,0.0
1986-08-06,6.751922284087089,6.796052495094195,6.4430108070373535,6.4430108070373535,550400,0.0,0.0
1986-08-07,6.35474993577644,6.398880143663776,5.73692702535373,5.913447856903076,7560000,0.0,0.0
1986-08-08,5.9575771445959385,6.3106187531645865,5.913446943524857,6.266488552093506,2802000,0.0,0.0
1986-08-11,6.354750385023143,6.4430108070373535,6.266489963008933,6.4430108070373535,1428000,0.0,0.0
1986-08-12,6.443008467356364,6.663659442265828,6.443008467356364,6.6195292472839355,1155200,0.0,0.0
1986-08-13,6.663660077125796,7.127027168581563,6.619529877939532,6.84018087387085,865600,0.0,0.0
1986-08-14,6.884312642248053,6.928442851493233,6.619531386776974,6.707791805267334,762000,0.0,0.0
1986-08-15,6.707789637247721,6.707789637247721,6.487138662338257,6.6195292472839355,654400,0.0,0.0
1986-08-18,6.663660077125796,6.9725714714296405,6.531269479567005,6.84018087387085,606800,0.0,0.0
1986-08-19,6.884313246783088,6.884313246783088,6.707792394301471,6.751922607421875,2744000,0.0,0.0
1986-08-20,6.751922014512513,6.751922014512513,6.619531386776974,6.707791805267334,500000,0.0,0.0
1986-08-21,6.707792168421461,6.751922380055813,6.663661956787109,6.663661956787109,353200,0.0,0.0
1986-08-22,6.707789637247721,6.751919832229614,6.6195292472839355,6.6195292472839355,286000,0.0,0.0
1986-08-25,6.707794266778069,6.707794266778069,6.443012914142093,6.531273365020752,766400,0.0,0.0
1986-08-26,6.487138662338257,6.6195292472839355,6.487138662338257,6.6195292472839355,408800,0.0,0.0
1986-08-27,6.619530556185934,6.619530556185934,6.487139945062215,6.575400352478027,686400,0.0,0.0
1986-08-28,6.5754034892231426,6.5754034892231426,6.443012814943482,6.487143039703369,286000,0.0,0.0
1986-08-29,6.4430108070373535,6.531271229051564,6.398880596030248,6.4430108070373535,1128800,0.0,0.0
1986-09-02,6.487139797210693,6.487139797210693,6.134098175593785,6.178228378295898,916800,0.0,0.0
1986-09-03,6.178229205258243,6.310619831085205,6.134098996649255,6.310619831085205,684400,0.0,0.0
1986-09-04,6.354749333938496,6.575400352478027,6.266488926522683,6.575400352478027,576800,0.0,0.0
1986-09-05,6.575397749741872,6.663658122221628,6.3547468185424805,6.3547468185424805,961600,0.0,0.0
1986-09-08,6.44300959450858,6.44300959450858,6.089967972891671,6.178228378295898,1793200,0.0,0.0
1986-09-09,6.134098408878714,6.178228613259136,6.001707795737446,6.089968204498291,388000,0.0,0.0
1986-09-10,6.089971346013686,6.089971346013686,6.001710891723633,6.001710891723633,802400,0.0,0.0
1986-09-11,6.045838108212929,6.045838108212929,5.472145441010243,5.604536056518555,6240000,0.0,0.0
1986-09-12,5.5604067083264965,5.604536920297342,5.33975564847227,5.383885860443115,2066800,0.0,0.0
1986-09-15,5.383885860443115,5.472146284384806,5.25149522453058,5.383885860443115,1746800,0.0,0.0
1986-09-16,5.339755302717705,5.383885511831075,5.163234466264227,5.251494884490967,1547200,0.0,0.0
1986-09-17,5.29562449051162,5.29562449051162,4.986713061898442,5.207364082336426,997600,0.0,0.0
1986-09-18,5.2073639188494,6.178228378295898,5.2073639188494,6.178228378295898,833200,0.0,0.0
1986-09-19,6.178230438789312,6.178230438789312,5.781058482009999,6.045839786529541,928000,0.0,0.0
1986-09-22,6.04584111886866,6.134101573158714,5.913450437433579,6.001710891723633,464000,0.0,0.0
1986-09-23,6.045836752111262,6.045836752111262,5.692795189944181,5.825185775756836,436400,0.0,0.0
1986-09-24,5.8251899831435265,6.04584111886866,5.736929528853473,6.001710891723633,649600,0.0,0.0
1986-09-25,6.001708152598904,6.001708152598904,5.869317531585693,5.869317531585693,305600,0.0,0.0
1986-09-26,5.869317531585693,5.9575779455945,5.8251873245812895,5.869317531585693,278400,0.0,0.0
1986-09-29,5.913446166298606,5.913446166298606,5.692795189944181,5.825185775756836,724800,0.0,0.0
1986-09-30,5.781058482009999,6.178230438789312,5.781058482009999,6.045839786529541,773200,0.0,0.0
1986-10-01,6.134100221369389,6.178230438789312,6.045839786529541,6.045839786529541,668400,0.0,0.0
1986-10-02,6.045839786529541,6.089970003949465,6.045839786529541,6.045839786529541,592000,0.0,0.0
1986-10-03,6.089968688452422,6.089968688452422,5.825187441128404,5.913447856903076,228000,0.0,0.0
1986-10-06,6.001709351716218,6.001709351716218,5.8693187042518895,5.957579135894775,467600,0.0,0.0
1986-10-07,5.913448920073332,6.001709351716218,5.913448920073332,5.957579135894775,176000,0.0,0.0
1986-10-08,6.001707795737446,6.089968204498291,5.957577591357024,6.089968204498291,558800,0.0,0.0
1986-10-09,6.089969783359104,6.089969783359104,5.913448920073332,5.957579135894775,243200,0.0,0.0
1986-10-10,5.9575779455945,5.9575779455945,5.8251873245812895,5.869317531585693,238400,0.0,0.0
1986-10-13,5.913449723591176,5.913449723591176,5.692798614501953,5.692798614501953,362800,0.0,0.0
1986-10-14,5.692799301708446,6.089971346013686,5.692799301708446,6.001710891723633,612000,0.0,0.0
1986-10-15,6.045837770189558,6.222358580998012,6.001707567487444,6.178228378295898,606800,0.0,0.0
1986-10-16,6.178228254798505,6.222358456618495,6.134098052978516,6.134098052978516,269200,0.0,0.0
1986-10-17,6.17823180030374,6.17823180030374,5.9575806645786065,6.001710891723633,216000,0.0,0.0
1986-10-20,5.9575779455945,6.001708152598904,5.692796703568078,5.869317531585693,595200,0.0,0.0
1986-10-21,5.86931874369847,5.86931874369847,5.781058311462402,5.781058311462402,327200,0.0,0.0
1986-10-22,5.869315971027721,5.869315971027721,5.781055580485951,5.825185775756836,396000,0.0,0.0
1986-10-23,5.8693179508425155,5.8693179508425155,5.825187740685805,5.84725284576416,1358400,0.0,0.0
1986-10-24,5.869317531585693,5.913447738590097,5.8251873245812895,5.869317531585693,809600,0.0,0.0
1986-10-27,5.913447738590097,5.913447738590097,5.8251873245812895,5.869317531585693,305200,0.0,0.0
1986-10-28,5.8251899831435265,6.001710891723633,5.8251899831435265,6.001710891723633,329200,0.0,0.0
1986-10-29,6.001707345667019,6.354748954235667,6.001707345667019,6.266488552093506,835600,0.0,0.0
1986-10-30,6.266489384092134,6.487140418743265,6.222359177161907,6.3988800048828125,973200,0.0,0.0
1986-10-31,6.398877004782358,6.398877004782358,6.266486446062723,6.3547468185424805,632400,0.0,0.0
1986-11-03,6.266486446062723,6.398877004782358,6.266486446062723,6.3547468185424805,408800,0.0,0.0
1986-11-04,6.310619831085205,6.39888024830318,6.310619831085205,6.310619831085205,283200,0.0,0.0
1986-11-05,6.354748954235667,6.354748954235667,6.266488552093506,6.266488552093506,231200,0.0,0.0
1986-11-06,6.266489867622971,6.310620077958343,6.045838815946105,6.222359657287598,434000,0.0,0.0
1986-11-07,6.222359599591998,6.310620019444367,6.178229389665814,6.200294494628906,517200,0.0,0.0
1986-11-10,6.222358580998012,6.222358580998012,6.089967972891671,6.178228378295898,503200,0.0,0.0
1986-11-11,6.22235941386723,6.310619831085205,6.134098996649255,6.310619831085205,142000,0.0,0.0
1986-11-12,6.310617513357554,6.376812801959207,6.266487320956452,6.3326826095581055,669600,0.0,0.0
1986-11-13,6.310619727889104,6.35474993577644,5.913447856903076,5.913447856903076,578800,0.0,0.0
1986-11-14,5.8693176490157395,5.957578064790413,5.781057233241067,5.913447856903076,806000,0.0,0.0
1986-11-17,5.913447856903076,5.957578064790413,5.825187441128404,5.913447856903076,734400,0.0,0.0
1986-11-18,5.957576361569491,5.957576361569491,5.781055580485951,5.825185775756836,605600,0.0,0.0
1986-11-19,5.869317531585693,5.913447738590097,5.781057117576886,5.869317531585693,495600,0.0,0.0
1986-11-20,5.869320210288553,6.001710891723633,5.869320210288553,6.001710891723633,828400,0.0,0.0
1986-11-21,6.045838579431281,6.354750039694193,6.001708370822294,6.310619831085205,666800,0.0,0.0
1986-11-24,6.222359752001828,6.531271229051564,6.222359752001828,6.4430108070373535,715600,0.0,0.0
1986-11-25,6.3547468185424805,6.443007191022237,6.310616632302602,6.3547468185424805,424000,0.0,0.0
1986-11-26,6.31061959102236,6.3988800048828125,6.31061959102236,6.3988800048828125,171600,0.0,0.0
1986-11-28,6.398877004782358,6.398877004782358,6.266486446062723,6.3547468185424805,236000,0.0,0.0
1986-12-01,6.354748954235667,6.398879155306749,6.222358351022424,6.266488552093506,596000,0.0,0.0
1986-12-02,6.310619831085205,6.3326849353896995,6.244424518171724,6.310619831085205,845600,0.0,0.0
1986-12-03,6.266489384092134,6.3988800048828125,6.266489384092134,6.3988800048828125,1016800,0.0,0.0
1986-12-04,6.354750039694193,6.487140665521155,6.22235941386723,6.310619831085205,643200,0.0,0.0
1986-12-05,6.266490873629159,6.310621091049083,6.001709569109617,6.045839786529541,636400,0.0,0.0
1986-12-08,6.001710891723633,6.089971346013686,5.869320210288553,6.001710891723633,712000,0.0,0.0
1986-12-09,5.957579135894775,6.04583956753766,5.957579135894775,5.957579135894775,302400,0.0,0.0
1986-12-10,6.001708272677749,6.001708272677749,5.8693176490157395,5.913447856903076,341200,0.0,0.0
1986-12-11,5.95757994540902,5.95757994540902,5.604538170866264,5.692798614501953,1172000,0.0,0.0
1986-12-12,5.781059058137642,5.781059058137642,5.692798614501953,5.692798614501953,332000,0.0,0.0
1986-12-15,5.69279636507449,6.089968204498291,5.648666160694067,6.089968204498291,768400,0.0,0.0
1986-12-16,6.045837649338537,6.134098052978516,6.045837649338537,6.134098052978516,770000,0.0,0.0
1986-12-17,6.134101573158714,6.17823180030374,6.001710891723633,6.001710891723633,345200,0.0,0.0
1986-12-18,6.001709351716218,6.089969783359104,5.8693187042518895,5.957579135894775,349200,0.0,0.0
